ttk_id,concept_type,format_structure,payoff_timing,audio_focus,visual_hook_hint,viral_mechanism,loop_friendliness,recommended_duration_secs,notes
TTK-0053,POV_skit,problem_solution,3_to_7s,silence_then_boom,screen_record,aspirational_vibes,good_enough_loop,7,POV_skit_silence_then_boom_problem_solution
TTK-0054,reaction_stem,problem_solution,15_to_30s,silence_then_boom,slow_zoom,educational_value,good_enough_loop,29,slow_zoom_problem_solution_silence_then_boom
TTK-0055,caption_quiz,verse_to_hook,under_3s,narration,POV_handheld,curiosity_gap,good_enough_loop,2,verse_to_hook_narration_caption_quiz
TTK-0056,reaction_stem,verse_to_hook,under_3s,vocal_hook,emoji_spam,fan_service,one_off_impact,2,emoji_spam_fan_service_vocal_hook
TTK-0057,live_teaser,A_B_A_loop,10_to_20s,vocal_hook_anddrums,prop_reveal,participation_chain,perfect_seam_loop,20,live_teaser_participation_chain_A_B_A_loop
TTK-0058,dance_loop,verse_to_hook,15_to_30s,vocal_hook_anddrums,cut_transition,satisfying_process,perfect_seam_loop,18,cut_transition_verse_to_hook_satisfying_process
TTK-0059,remix_callout,duet_ready,15_to_30s,acapella_loop,match_cut,curiosity_gap,one_off_impact,28,curiosity_gap_match_cut_remix_callout
TTK-0060,caption_quiz,POV_cutaway,7_to_12s,sound_effect,slow_zoom,flex_skills,one_off_impact,10,POV_cutaway_sound_effect_flex_skills
TTK-0061,duet_bait,call_and_response,3_to_7s,narration,split_screen,educational_value,one_off_impact,3,call_and_response_educational_value_duet_bait
TTK-0062,stitch_prompt,verse_to_hook,3_to_7s,beat_switch,facial_zoom,suspense_payoff,good_enough_loop,7,facial_zoom_suspense_payoff_stitch_prompt
TTK-0063,reaction_stem,problem_solution,10_to_20s,silence_then_boom,stitch_frame,easy_to_copy,one_off_impact,16,stitch_frame_reaction_stem_problem_solution
TTK-0064,micro_tutorial,problem_solution,10_to_20s,glitch_cut,overlay_graphics,curiosity_gap,perfect_seam_loop,17,problem_solution_glitch_cut_curiosity_gap
TTK-0065,caption_quiz,hook_only,10_to_20s,acapella_loop,duet_layout,authority_flex,one_off_impact,12,duet_layout_hook_only_acapella_loop
TTK-0066,countdown_tease,hook_only,10_to_20s,silence_then_boom,screen_record,easy_to_copy,perfect_seam_loop,20,screen_record_hook_only_easy_to_copy
TTK-0067,storytelling_clip,hook_only,7_to_12s,callout_tag,split_screen,remixability,good_enough_loop,9,callout_tag_split_screen_hook_only
TTK-0068,POV_skit,call_and_response,under_3s,vocal_hook_anddrums,outfit_change,satisfying_process,perfect_seam_loop,3,call_and_response_POV_skit_vocal_hook_anddrums
TTK-0069,reveal_twist,hook_only,3_to_7s,sound_effect,outfit_change,curiosity_gap,perfect_seam_loop,4,hook_only_outfit_change_sound_effect
TTK-0070,transition,stitch_ready,3_to_7s,vocal_hook_anddrums,stitch_frame,flex_skills,good_enough_loop,4,flex_skills_transition_stitch_frame
TTK-0071,micro_tutorial,build_then_drop,15_to_30s,vocal_hook,text_popups,scarcity_timer,one_off_impact,27,text_popups_build_then_drop_micro_tutorial
TTK-0072,live_teaser,A_B_A_loop,under_3s,narration,duet_layout,curiosity_gap,perfect_seam_loop,2,narration_duet_layout_curiosity_gap
TTK-0073,behind_the_scenes,build_then_drop,15_to_30s,acapella_loop,outfit_change,suspense_payoff,good_enough_loop,18,outfit_change_acapella_loop_suspense_payoff
TTK-0074,filter_flip,verse_to_hook,10_to_20s,bass_drop,POV_handheld,flex_skills,one_off_impact,18,POV_handheld_flex_skills_verse_to_hook
TTK-0075,live_teaser,call_and_response,7_to_12s,sound_effect,reaction_face,flex_skills,good_enough_loop,8,reaction_face_flex_skills_call_and_response
TTK-0076,challenge,POV_cutaway,7_to_12s,bass_drop,object_closeup,remixability,good_enough_loop,9,bass_drop_remixability_object_closeup
TTK-0077,listicle_tip,duet_ready,under_3s,glitch_cut,looped_dance_move,high_relatability,perfect_seam_loop,3,looped_dance_move_duet_ready_glitch_cut
TTK-0078,caption_quiz,POV_cutaway,10_to_20s,vocal_hook,reaction_face,aspirational_vibes,perfect_seam_loop,16,POV_cutaway_vocal_hook_reaction_face
TTK-0079,live_teaser,listicle_3,10_to_20s,glitch_cut,POV_handheld,controversy_but_safe,good_enough_loop,18,glitch_cut_controversy_but_safe_POV_handheld
TTK-0080,filter_flip,call_and_response,7_to_12s,narration,emoji_spam,visual_satisfaction,one_off_impact,8,narration_filter_flip_visual_satisfaction
TTK-0081,countdown_tease,verse_to_hook,3_to_7s,sound_effect,object_closeup,flex_skills,one_off_impact,7,flex_skills_sound_effect_countdown_tease
TTK-0082,reaction_stem,call_and_response,3_to_7s,acapella_loop,subtitles_andface,aspirational_vibes,perfect_seam_loop,7,call_and_response_acapella_loop_reaction_stem
TTK-0083,reveal_twist,duet_ready,7_to_12s,bass_drop,slow_zoom,fan_service,perfect_seam_loop,7,fan_service_bass_drop_duet_ready
TTK-0084,caption_quiz,POV_cutaway,7_to_12s,bass_drop,cut_transition,flex_skills,good_enough_loop,7,caption_quiz_cut_transition_POV_cutaway
TTK-0085,duet_bait,stitch_ready,under_3s,bass_drop,simple_static_shot,scarcity_timer,good_enough_loop,2,stitch_ready_duet_bait_bass_drop
TTK-0086,POV_skit,stitch_ready,15_to_30s,silence_then_boom,emoji_spam,transformation,good_enough_loop,29,emoji_spam_silence_then_boom_transformation
TTK-0087,POV_skit,call_and_response,15_to_30s,silence_then_boom,cut_transition,curiosity_gap,one_off_impact,18,call_and_response_curiosity_gap_cut_transition
TTK-0088,duet_bait,verse_to_hook,3_to_7s,bass_drop,overlay_graphics,high_relatability,perfect_seam_loop,3,overlay_graphics_high_relatability_bass_drop
TTK-0089,poll_moment,POV_cutaway,7_to_12s,vocal_hook,emoji_spam,aspirational_vibes,one_off_impact,9,emoji_spam_poll_moment_vocal_hook
TTK-0090,dance_loop,call_and_response,15_to_30s,sound_effect,facial_zoom,visual_satisfaction,one_off_impact,22,call_and_response_sound_effect_dance_loop
TTK-0091,duet_bait,hook_only,3_to_7s,narration,greenscreen_effect,scarcity_timer,good_enough_loop,6,duet_bait_greenscreen_effect_narration
TTK-0092,micro_tutorial,problem_solution,7_to_12s,glitch_cut,overlay_graphics,fan_service,good_enough_loop,7,fan_service_micro_tutorial_problem_solution
TTK-0093,product_demo,stitch_ready,7_to_12s,vocal_hook,reaction_face,participation_chain,one_off_impact,11,participation_chain_product_demo_vocal_hook
TTK-0094,listicle_tip,stitch_ready,under_3s,bass_drop,object_closeup,transformation,one_off_impact,3,bass_drop_stitch_ready_transformation
TTK-0095,POV_skit,POV_cutaway,under_3s,vocal_hook_anddrums,on_beat_cuts,suspense_payoff,good_enough_loop,3,POV_skit_POV_cutaway_on_beat_cuts
TTK-0096,POV_skit,POV_cutaway,7_to_12s,callout_tag,overlay_graphics,shock_value_soft,good_enough_loop,7,callout_tag_shock_value_soft_POV_cutaway
TTK-0097,transition,problem_solution,15_to_30s,vocal_hook,duet_layout,satisfying_process,good_enough_loop,28,transition_problem_solution_vocal_hook
TTK-0098,behind_the_scenes,stitch_ready,10_to_20s,vocal_hook_anddrums,cut_transition,remixability,good_enough_loop,18,stitch_ready_vocal_hook_anddrums_remixability
TTK-0099,caption_quiz,build_then_drop,under_3s,silence_then_boom,emoji_spam,emotional_punch,good_enough_loop,2,emotional_punch_emoji_spam_caption_quiz
TTK-0100,dance_loop,build_then_drop,10_to_20s,beat_switch,slow_zoom,meme_potential,good_enough_loop,14,meme_potential_beat_switch_build_then_drop
TTK-0101,caption_quiz,POV_cutaway,3_to_7s,vocal_hook_anddrums,overlay_graphics,meme_potential,good_enough_loop,4,meme_potential_POV_cutaway_caption_quiz
TTK-0102,listicle_tip,problem_solution,7_to_12s,glitch_cut,caption_punch,easy_to_copy,good_enough_loop,12,glitch_cut_caption_punch_listicle_tip
TTK-0103,filter_flip,duet_ready,10_to_20s,acapella_loop,split_screen,satisfying_process,one_off_impact,16,split_screen_acapella_loop_filter_flip
TTK-0104,dance_loop,stitch_ready,10_to_20s,sound_effect,facial_zoom,shock_value_soft,good_enough_loop,17,facial_zoom_shock_value_soft_sound_effect
TTK-0105,meme_context,POV_cutaway,under_3s,bass_drop,POV_handheld,scarcity_timer,good_enough_loop,2,POV_handheld_meme_context_bass_drop
TTK-0106,filter_flip,hook_only,3_to_7s,callout_tag,slow_zoom,meme_potential,perfect_seam_loop,6,callout_tag_meme_potential_slow_zoom
TTK-0107,stitch_prompt,build_then_drop,7_to_12s,glitch_cut,prop_reveal,educational_value,one_off_impact,12,prop_reveal_stitch_prompt_glitch_cut
TTK-0108,duet_bait,A_B_A_loop,7_to_12s,sound_effect,reaction_face,suspense_payoff,perfect_seam_loop,12,duet_bait_reaction_face_suspense_payoff
TTK-0109,micro_tutorial,hook_only,under_3s,acapella_loop,cut_transition,aspirational_vibes,good_enough_loop,3,cut_transition_hook_only_micro_tutorial
TTK-0110,remix_callout,problem_solution,15_to_30s,bass_drop,subtitles_andface,emotional_punch,perfect_seam_loop,27,emotional_punch_problem_solution_subtitles_andface
TTK-0111,live_teaser,verse_to_hook,3_to_7s,vocal_hook_anddrums,slow_zoom,flex_skills,good_enough_loop,5,live_teaser_slow_zoom_verse_to_hook
TTK-0112,countdown_tease,verse_to_hook,under_3s,vocal_hook_anddrums,on_beat_cuts,scarcity_timer,good_enough_loop,3,vocal_hook_anddrums_on_beat_cuts_verse_to_hook
TTK-0113,reaction_stem,problem_solution,10_to_20s,beat_switch,emoji_spam,authority_flex,one_off_impact,15,authority_flex_beat_switch_emoji_spam
TTK-0114,micro_tutorial,hook_only,10_to_20s,narration,outfit_change,scarcity_timer,one_off_impact,10,scarcity_timer_outfit_change_hook_only
TTK-0115,dance_loop,stitch_ready,7_to_12s,sound_effect,slow_zoom,remixability,one_off_impact,9,stitch_ready_dance_loop_sound_effect
TTK-0116,reveal_twist,call_and_response,10_to_20s,vocal_hook,screen_record,controversy_but_safe,one_off_impact,12,reveal_twist_vocal_hook_call_and_response
TTK-0117,POV_skit,verse_to_hook,3_to_7s,bass_drop,overlay_graphics,controversy_but_safe,one_off_impact,7,bass_drop_verse_to_hook_overlay_graphics
TTK-0118,caption_quiz,call_and_response,7_to_12s,beat_switch,match_cut,high_relatability,perfect_seam_loop,8,match_cut_beat_switch_caption_quiz
TTK-0119,stitch_prompt,hook_only,7_to_12s,glitch_cut,camera_spin_orjump,co_creation,good_enough_loop,12,glitch_cut_camera_spin_orjump_co_creation
TTK-0120,behind_the_scenes,build_then_drop,3_to_7s,vocal_hook_anddrums,outfit_change,curiosity_gap,one_off_impact,5,curiosity_gap_build_then_drop_vocal_hook_anddrums
TTK-0121,duet_bait,POV_cutaway,7_to_12s,callout_tag,camera_spin_orjump,meme_potential,perfect_seam_loop,7,callout_tag_camera_spin_orjump_duet_bait
TTK-0122,transition,A_B_A_loop,15_to_30s,bass_drop,prop_reveal,co_creation,good_enough_loop,28,co_creation_A_B_A_loop_prop_reveal
TTK-0123,transition,POV_cutaway,15_to_30s,callout_tag,caption_punch,shock_value_soft,one_off_impact,26,POV_cutaway_caption_punch_shock_value_soft
TTK-0124,dance_loop,listicle_3,under_3s,acapella_loop,overlay_graphics,controversy_but_safe,perfect_seam_loop,3,acapella_loop_listicle_3_dance_loop
TTK-0125,filter_flip,build_then_drop,3_to_7s,silence_then_boom,outfit_change,shock_value_soft,good_enough_loop,4,build_then_drop_shock_value_soft_filter_flip
TTK-0126,countdown_tease,A_B_A_loop,15_to_30s,sound_effect,emoji_spam,educational_value,perfect_seam_loop,15,sound_effect_A_B_A_loop_countdown_tease
TTK-0127,countdown_tease,call_and_response,3_to_7s,beat_switch,duet_layout,easy_to_copy,perfect_seam_loop,3,beat_switch_call_and_response_easy_to_copy
TTK-0128,product_demo,hook_only,3_to_7s,narration,cut_transition,meme_potential,one_off_impact,6,meme_potential_product_demo_narration
TTK-0129,duet_bait,POV_cutaway,10_to_20s,acapella_loop,POV_handheld,scarcity_timer,perfect_seam_loop,17,scarcity_timer_POV_cutaway_acapella_loop
TTK-0130,reveal_twist,duet_ready,7_to_12s,vocal_hook_anddrums,slow_zoom,easy_to_copy,perfect_seam_loop,10,slow_zoom_easy_to_copy_vocal_hook_anddrums
TTK-0131,transition,POV_cutaway,10_to_20s,beat_switch,reaction_face,educational_value,one_off_impact,12,transition_POV_cutaway_reaction_face
TTK-0132,poll_moment,stitch_ready,15_to_30s,acapella_loop,prop_reveal,curiosity_gap,one_off_impact,24,prop_reveal_curiosity_gap_poll_moment
TTK-0133,transition,duet_ready,3_to_7s,callout_tag,match_cut,participation_chain,good_enough_loop,5,match_cut_participation_chain_duet_ready
TTK-0134,transition,listicle_3,10_to_20s,acapella_loop,duet_layout,flex_skills,good_enough_loop,12,duet_layout_transition_flex_skills
TTK-0135,duet_bait,build_then_drop,10_to_20s,beat_switch,on_beat_cuts,meme_potential,one_off_impact,10,meme_potential_beat_switch_on_beat_cuts
TTK-0136,transition,problem_solution,7_to_12s,callout_tag,cut_transition,aspirational_vibes,one_off_impact,9,callout_tag_transition_aspirational_vibes
TTK-0137,remix_callout,A_B_A_loop,3_to_7s,vocal_hook_anddrums,emoji_spam,visual_satisfaction,good_enough_loop,7,vocal_hook_anddrums_remix_callout_A_B_A_loop
TTK-0138,live_teaser,A_B_A_loop,10_to_20s,glitch_cut,greenscreen_effect,curiosity_gap,one_off_impact,20,curiosity_gap_live_teaser_glitch_cut
TTK-0139,listicle_tip,hook_only,3_to_7s,narration,stitch_frame,aspirational_vibes,good_enough_loop,5,listicle_tip_hook_only_aspirational_vibes
TTK-0140,live_teaser,problem_solution,under_3s,bass_drop,slow_zoom,easy_to_copy,perfect_seam_loop,2,slow_zoom_easy_to_copy_problem_solution
TTK-0141,product_demo,verse_to_hook,7_to_12s,narration,split_screen,scarcity_timer,one_off_impact,7,product_demo_verse_to_hook_scarcity_timer
TTK-0142,poll_moment,hook_only,under_3s,narration,match_cut,suspense_payoff,good_enough_loop,3,match_cut_narration_poll_moment
TTK-0143,remix_callout,build_then_drop,7_to_12s,callout_tag,camera_spin_orjump,aspirational_vibes,one_off_impact,12,aspirational_vibes_camera_spin_orjump_callout_tag
TTK-0144,micro_tutorial,hook_only,3_to_7s,callout_tag,greenscreen_effect,shock_value_soft,perfect_seam_loop,4,callout_tag_hook_only_micro_tutorial
TTK-0145,listicle_tip,call_and_response,7_to_12s,beat_switch,outfit_change,fan_service,one_off_impact,10,call_and_response_fan_service_outfit_change
TTK-0146,countdown_tease,A_B_A_loop,15_to_30s,glitch_cut,duet_layout,controversy_but_safe,perfect_seam_loop,27,countdown_tease_duet_layout_controversy_but_safe
TTK-0147,filter_flip,build_then_drop,7_to_12s,silence_then_boom,facial_zoom,scarcity_timer,good_enough_loop,12,facial_zoom_silence_then_boom_filter_flip
TTK-0148,stitch_prompt,hook_only,7_to_12s,bass_drop,greenscreen_effect,co_creation,one_off_impact,9,stitch_prompt_greenscreen_effect_co_creation
TTK-0149,dance_loop,problem_solution,15_to_30s,callout_tag,POV_handheld,high_relatability,good_enough_loop,24,callout_tag_problem_solution_POV_handheld
TTK-0150,storytelling_clip,build_then_drop,15_to_30s,beat_switch,POV_handheld,transformation,perfect_seam_loop,26,beat_switch_build_then_drop_storytelling_clip
TTK-0151,transition,verse_to_hook,7_to_12s,sound_effect,subtitles_andface,curiosity_gap,perfect_seam_loop,12,transition_verse_to_hook_sound_effect
TTK-0152,caption_quiz,POV_cutaway,15_to_30s,silence_then_boom,match_cut,scarcity_timer,one_off_impact,25,silence_then_boom_POV_cutaway_match_cut
TTK-0153,duet_bait,POV_cutaway,10_to_20s,narration,caption_punch,scarcity_timer,perfect_seam_loop,15,scarcity_timer_duet_bait_POV_cutaway
TTK-0154,filter_flip,POV_cutaway,under_3s,vocal_hook,on_beat_cuts,aspirational_vibes,perfect_seam_loop,2,aspirational_vibes_on_beat_cuts_POV_cutaway
TTK-0155,live_teaser,duet_ready,under_3s,vocal_hook_anddrums,screen_record,remixability,good_enough_loop,3,remixability_duet_ready_live_teaser
TTK-0156,filter_flip,build_then_drop,7_to_12s,beat_switch,POV_handheld,emotional_punch,perfect_seam_loop,8,POV_handheld_emotional_punch_beat_switch
TTK-0157,remix_callout,stitch_ready,3_to_7s,acapella_loop,on_beat_cuts,aspirational_vibes,good_enough_loop,6,acapella_loop_remix_callout_aspirational_vibes
TTK-0158,product_demo,build_then_drop,7_to_12s,beat_switch,overlay_graphics,authority_flex,good_enough_loop,9,authority_flex_build_then_drop_overlay_graphics
TTK-0159,duet_bait,stitch_ready,3_to_7s,acapella_loop,text_popups,authority_flex,perfect_seam_loop,7,duet_bait_acapella_loop_text_popups
TTK-0160,stitch_prompt,listicle_3,3_to_7s,glitch_cut,reaction_face,suspense_payoff,one_off_impact,5,stitch_prompt_glitch_cut_listicle_3
TTK-0161,storytelling_clip,A_B_A_loop,7_to_12s,vocal_hook_anddrums,looped_dance_move,participation_chain,perfect_seam_loop,8,storytelling_clip_vocal_hook_anddrums_participation_chain
TTK-0162,remix_callout,duet_ready,15_to_30s,vocal_hook,duet_layout,educational_value,one_off_impact,19,educational_value_duet_layout_remix_callout
TTK-0163,storytelling_clip,verse_to_hook,15_to_30s,bass_drop,match_cut,shock_value_soft,good_enough_loop,26,verse_to_hook_match_cut_bass_drop
TTK-0164,micro_tutorial,POV_cutaway,3_to_7s,glitch_cut,emoji_spam,aspirational_vibes,good_enough_loop,4,glitch_cut_emoji_spam_POV_cutaway
TTK-0165,micro_tutorial,problem_solution,15_to_30s,glitch_cut,facial_zoom,emotional_punch,perfect_seam_loop,19,glitch_cut_micro_tutorial_emotional_punch
TTK-0166,caption_quiz,listicle_3,15_to_30s,beat_switch,stitch_frame,transformation,perfect_seam_loop,24,caption_quiz_listicle_3_stitch_frame
TTK-0167,filter_flip,duet_ready,3_to_7s,callout_tag,reaction_face,participation_chain,good_enough_loop,5,filter_flip_reaction_face_participation_chain
TTK-0168,stitch_prompt,duet_ready,7_to_12s,sound_effect,prop_reveal,high_relatability,good_enough_loop,8,stitch_prompt_sound_effect_high_relatability
TTK-0169,product_demo,verse_to_hook,3_to_7s,vocal_hook,text_popups,fan_service,one_off_impact,4,text_popups_fan_service_vocal_hook
TTK-0170,challenge,build_then_drop,under_3s,narration,looped_dance_move,meme_potential,one_off_impact,3,challenge_narration_meme_potential
TTK-0171,micro_tutorial,build_then_drop,under_3s,sound_effect,facial_zoom,curiosity_gap,good_enough_loop,2,micro_tutorial_facial_zoom_sound_effect
TTK-0172,countdown_tease,hook_only,15_to_30s,silence_then_boom,emoji_spam,meme_potential,good_enough_loop,28,countdown_tease_silence_then_boom_meme_potential
TTK-0173,live_teaser,problem_solution,3_to_7s,beat_switch,POV_handheld,controversy_but_safe,perfect_seam_loop,7,controversy_but_safe_live_teaser_problem_solution
TTK-0174,caption_quiz,hook_only,10_to_20s,acapella_loop,caption_punch,easy_to_copy,good_enough_loop,11,acapella_loop_hook_only_easy_to_copy
TTK-0175,transition,stitch_ready,7_to_12s,bass_drop,cut_transition,controversy_but_safe,one_off_impact,9,stitch_ready_cut_transition_bass_drop
TTK-0176,caption_quiz,verse_to_hook,3_to_7s,beat_switch,stitch_frame,co_creation,perfect_seam_loop,5,verse_to_hook_caption_quiz_stitch_frame
TTK-0177,reveal_twist,listicle_3,7_to_12s,glitch_cut,prop_reveal,satisfying_process,good_enough_loop,9,reveal_twist_listicle_3_prop_reveal
TTK-0178,behind_the_scenes,hook_only,7_to_12s,narration,camera_spin_orjump,controversy_but_safe,good_enough_loop,10,camera_spin_orjump_controversy_but_safe_hook_only
TTK-0179,storytelling_clip,POV_cutaway,10_to_20s,acapella_loop,POV_handheld,flex_skills,perfect_seam_loop,16,storytelling_clip_POV_handheld_acapella_loop
