atom_id,source_dataset_id,source_row_id,atom_category,primary_label,secondary_labels,attributes,tags,provenance,confidence,status,notes
vm_cpa:CPAM_008:A,creative_partner_advice_map,CPAM_008,situation_pattern,mid_project_dip,"[""drained"", ""music_production"", ""reconnect_with_why""]","{""situation_category"": ""mid_project_dip"", ""creator_thought"": ""This project suddenly feels boring."", ""emotional_state"": ""drained"", ""context_channel"": ""music_production"", ""desired_outcome"": ""reconnect_with_why"", ""extra_notes"": ""Ask: help me use emotion_first_reflection for a music_production moment of mid_project_dip.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_008:B,creative_partner_advice_map,CPAM_008,advice_pattern,emotion_first_reflection,"[""reconnect_with_why"", ""drained"", ""music_production""]","{""advice_strategy"": ""emotion_first_reflection"", ""core_advice_line"": ""Name the feeling before you touch the project."", ""expanded_advice"": ""Pause and write one or two sentences about how you feel right now. Let the project respond to that feeling instead of pretending it is not there. Treat this piece like an experiment"", ""follow_up_prompt_hint"": ""not a final verdict on your talent."", ""extra_notes"": ""Ask: help me use emotion_first_reflection for a music_production moment of mid_project_dip."", ""situation_category"": ""mid_project_dip"", ""creator_thought"": ""This project suddenly feels boring."", ""emotional_state"": ""drained"", ""context_channel"": ""music_production"", ""desired_outcome"": ""reconnect_with_why""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_009:A,creative_partner_advice_map,CPAM_009,situation_pattern,fear_of_judgment,"[""anxious"", ""short_form_video"", ""reduce_pressure""]","{""situation_category"": ""fear_of_judgment"", ""creator_thought"": ""I'm afraid people will laugh at this."", ""emotional_state"": ""anxious"", ""context_channel"": ""short_form_video"", ""desired_outcome"": ""reduce_pressure"", ""extra_notes"": ""Ask: help me use audience_reframe for a short_form_video moment of fear_of_judgment.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_009:B,creative_partner_advice_map,CPAM_009,advice_pattern,audience_reframe,"[""reduce_pressure"", ""anxious"", ""short_form_video""]","{""advice_strategy"": ""audience_reframe"", ""core_advice_line"": ""Imagine one kind human you are making this for."", ""expanded_advice"": ""Imagine one real or fictional person who would be delighted by this. Creating for one caring witness is less scary than imagining the whole internet. Treat this piece like an experiment"", ""follow_up_prompt_hint"": ""not a final verdict on your talent."", ""extra_notes"": ""Ask: help me use audience_reframe for a short_form_video moment of fear_of_judgment."", ""situation_category"": ""fear_of_judgment"", ""creator_thought"": ""I'm afraid people will laugh at this."", ""emotional_state"": ""anxious"", ""context_channel"": ""short_form_video"", ""desired_outcome"": ""reduce_pressure""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_010:A,creative_partner_advice_map,CPAM_010,situation_pattern,sharing_work_nerves,"[""tense"", ""long_form_video"", ""prepare_to_share""]","{""situation_category"": ""sharing_work_nerves"", ""creator_thought"": ""Posting this online makes me nervous."", ""emotional_state"": ""tense"", ""context_channel"": ""long_form_video"", ""desired_outcome"": ""prepare_to_share"", ""extra_notes"": NaN}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_010:B,creative_partner_advice_map,CPAM_010,advice_pattern,audience_reframe,"[""prepare_to_share"", ""tense"", ""long_form_video""]","{""advice_strategy"": ""audience_reframe"", ""core_advice_line"": ""Imagine one kind human you are making this for."", ""expanded_advice"": ""Imagine one real or fictional person who would be delighted by this. Creating for one caring witness is less scary than imagining the whole internet. Remember that shipping a small version now often teaches you more than waiting for the perfect moment."", ""follow_up_prompt_hint"": ""Ask: help me use audience_reframe for a long_form_video moment of sharing_work_nerves."", ""extra_notes"": NaN, ""situation_category"": ""sharing_work_nerves"", ""creator_thought"": ""Posting this online makes me nervous."", ""emotional_state"": ""tense"", ""context_channel"": ""long_form_video"", ""desired_outcome"": ""prepare_to_share""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_011:A,creative_partner_advice_map,CPAM_011,situation_pattern,creative_play,"[""playful"", ""visual_art"", ""regain_motivation""]","{""situation_category"": ""creative_play"", ""creator_thought"": ""I want to experiment without pressure."", ""emotional_state"": ""playful"", ""context_channel"": ""visual_art"", ""desired_outcome"": ""regain_motivation"", ""extra_notes"": ""or one rule. Constraints reduce anxiety by shrinking decisions so you can actually play again. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use constraint_play for a visual_art moment of creative_play.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_011:B,creative_partner_advice_map,CPAM_011,advice_pattern,constraint_play,"[""regain_motivation"", ""playful"", ""visual_art""]","{""advice_strategy"": ""constraint_play"", ""core_advice_line"": ""Shrink the playground: limit yourself on purpose."", ""expanded_advice"": ""Pick one constraint for this session: one mood"", ""follow_up_prompt_hint"": ""one tool"", ""extra_notes"": ""or one rule. Constraints reduce anxiety by shrinking decisions so you can actually play again. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use constraint_play for a visual_art moment of creative_play."", ""situation_category"": ""creative_play"", ""creator_thought"": ""I want to experiment without pressure."", ""emotional_state"": ""playful"", ""context_channel"": ""visual_art"", ""desired_outcome"": ""regain_motivation""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_012:A,creative_partner_advice_map,CPAM_012,situation_pattern,collaboration_tension,"[""frustrated"", ""creative_writing"", ""reconnect_with_why""]","{""situation_category"": ""collaboration_tension"", ""creator_thought"": ""My collaborator and I aren't aligned."", ""emotional_state"": ""frustrated"", ""context_channel"": ""creative_writing"", ""desired_outcome"": ""reconnect_with_why"", ""extra_notes"": NaN}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_012:B,creative_partner_advice_map,CPAM_012,advice_pattern,emotion_first_reflection,"[""reconnect_with_why"", ""frustrated"", ""creative_writing""]","{""advice_strategy"": ""emotion_first_reflection"", ""core_advice_line"": ""Name the feeling before you touch the project."", ""expanded_advice"": ""Pause and write one or two sentences about how you feel right now. Let the project respond to that feeling instead of pretending it is not there. Remember that shipping a small version now often teaches you more than waiting for the perfect moment."", ""follow_up_prompt_hint"": ""Ask: help me use emotion_first_reflection for a creative_writing moment of collaboration_tension."", ""extra_notes"": NaN, ""situation_category"": ""collaboration_tension"", ""creator_thought"": ""My collaborator and I aren't aligned."", ""emotional_state"": ""frustrated"", ""context_channel"": ""creative_writing"", ""desired_outcome"": ""reconnect_with_why""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_013:A,creative_partner_advice_map,CPAM_013,situation_pattern,time_pressure,"[""anxious"", ""music_songwriting"", ""set_kind_deadline""]","{""situation_category"": ""time_pressure"", ""creator_thought"": ""There isn't enough time to do this properly."", ""emotional_state"": ""anxious"", ""context_channel"": ""music_songwriting"", ""desired_outcome"": ""set_kind_deadline"", ""extra_notes"": ""specific block of time and protect it. Knowing there is a clear stop makes it easier to start and lowers the pressure to be brilliant. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use time_boxing for a music_songwriting moment of time_pressure.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_013:B,creative_partner_advice_map,CPAM_013,advice_pattern,time_boxing,"[""set_kind_deadline"", ""anxious"", ""music_songwriting""]","{""advice_strategy"": ""time_boxing"", ""core_advice_line"": ""Put the idea in a short timed box"", ""expanded_advice"": ""not a perfect cage."", ""follow_up_prompt_hint"": ""Decide on a short"", ""extra_notes"": ""specific block of time and protect it. Knowing there is a clear stop makes it easier to start and lowers the pressure to be brilliant. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use time_boxing for a music_songwriting moment of time_pressure."", ""situation_category"": ""time_pressure"", ""creator_thought"": ""There isn't enough time to do this properly."", ""emotional_state"": ""anxious"", ""context_channel"": ""music_songwriting"", ""desired_outcome"": ""set_kind_deadline""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_014:A,creative_partner_advice_map,CPAM_014,situation_pattern,overwhelmed_by_options,"[""overstimulated"", ""graphic_design"", ""generate_clear_direction""]","{""situation_category"": ""overwhelmed_by_options"", ""creator_thought"": ""I have too many ideas and can't choose one."", ""emotional_state"": ""overstimulated"", ""context_channel"": ""graphic_design"", ""desired_outcome"": ""generate_clear_direction"", ""extra_notes"": NaN}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_014:B,creative_partner_advice_map,CPAM_014,advice_pattern,reverse_brief,"[""generate_clear_direction"", ""overstimulated"", ""graphic_design""]","{""advice_strategy"": ""reverse_brief"", ""core_advice_line"": ""Flip the problem and write the weirdest opposite brief."", ""expanded_advice"": ""Write a silly or exaggerated opposite version of what you think you should do. Then scan it for one surprising angle you secretly like and keep that. Remember that shipping a small version now often teaches you more than waiting for the perfect moment."", ""follow_up_prompt_hint"": ""Ask: help me use reverse_brief for a graphic_design moment of overwhelmed_by_options."", ""extra_notes"": NaN, ""situation_category"": ""overwhelmed_by_options"", ""creator_thought"": ""I have too many ideas and can't choose one."", ""emotional_state"": ""overstimulated"", ""context_channel"": ""graphic_design"", ""desired_outcome"": ""generate_clear_direction""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_015:A,creative_partner_advice_map,CPAM_015,situation_pattern,stuck_on_idea,"[""calm_but_uncertain"", ""creative_writing"", ""unblock_brainstorm""]","{""situation_category"": ""stuck_on_idea"", ""creator_thought"": ""I don't know what to make next."", ""emotional_state"": ""calm_but_uncertain"", ""context_channel"": ""creative_writing"", ""desired_outcome"": ""unblock_brainstorm"", ""extra_notes"": ""or piece of writing you admire. Copy its structure or rhythm loosely | not the content | as scaffolding for your own idea. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use reference_inspiration for a creative_writing moment of stuck_on_idea.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_015:B,creative_partner_advice_map,CPAM_015,advice_pattern,reference_inspiration,"[""unblock_brainstorm"", ""calm_but_uncertain"", ""creative_writing""]","{""advice_strategy"": ""reference_inspiration"", ""core_advice_line"": ""Borrow structure from something you already like."", ""expanded_advice"": ""Choose a song"", ""follow_up_prompt_hint"": ""image"", ""extra_notes"": ""or piece of writing you admire. Copy its structure or rhythm loosely | not the content | as scaffolding for your own idea. Remember that shipping a small version now often teaches you more than waiting for the perfect moment. | Ask: help me use reference_inspiration for a creative_writing moment of stuck_on_idea."", ""situation_category"": ""stuck_on_idea"", ""creator_thought"": ""I don't know what to make next."", ""emotional_state"": ""calm_but_uncertain"", ""context_channel"": ""creative_writing"", ""desired_outcome"": ""unblock_brainstorm""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_016:A,creative_partner_advice_map,CPAM_016,situation_pattern,low_energy,"[""drained"", ""short_form_video"", ""regain_motivation""]","{""situation_category"": ""low_energy"", ""creator_thought"": ""I feel too tired to be creative."", ""emotional_state"": ""drained"", ""context_channel"": ""short_form_video"", ""desired_outcome"": ""regain_motivation"", ""extra_notes"": ""breathe slowly | or walk for a few minutes. A calmer body often gives you access to clearer | friendlier creative choices. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use body_and_breath_break for a short_form_video moment of low_energy.""}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
vm_cpa:CPAM_016:B,creative_partner_advice_map,CPAM_016,advice_pattern,body_and_breath_break,"[""regain_motivation"", ""drained"", ""short_form_video""]","{""advice_strategy"": ""body_and_breath_break"", ""core_advice_line"": ""Move your body and reset your nervous system first."", ""expanded_advice"": ""Stand up"", ""follow_up_prompt_hint"": ""stretch"", ""extra_notes"": ""breathe slowly | or walk for a few minutes. A calmer body often gives you access to clearer | friendlier creative choices. Treat this piece like an experiment | not a final verdict on your talent. | Ask: help me use body_and_breath_break for a short_form_video moment of low_energy."", ""situation_category"": ""low_energy"", ""creator_thought"": ""I feel too tired to be creative."", ""emotional_state"": ""drained"", ""context_channel"": ""short_form_video"", ""desired_outcome"": ""regain_motivation""}","[""viral_muse"", ""creative_partner_advice_map"", ""advice_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_B""]}",0.96,active,
vm_cpa:CPAM_017:A,creative_partner_advice_map,CPAM_017,situation_pattern,finishing_phase_anxiety,"[""restless"", ""visual_art"", ""finish_current_piece""]","{""situation_category"": ""finishing_phase_anxiety"", ""creator_thought"": ""I'm scared to call this finished."", ""emotional_state"": ""restless"", ""context_channel"": ""visual_art"", ""desired_outcome"": ""finish_current_piece"", ""extra_notes"": NaN}","[""viral_muse"", ""creative_partner_advice_map"", ""situation_pattern""]","{""source_type"": ""dataset_row"", ""rule_ids"": [""UMGG_V1_CPA_SPLIT_A""]}",0.97,active,
